time,acc_x,acc_y,acc_z
14:28:00.002,0.58105,-0.78027,-0.16455;
14:28:00.022,0.53857,-0.91357,0.11475;
14:28:00.042,0.55908,-1.06128,0.22632;
14:28:00.062,0.63452,-1.06226,0.04712;
14:28:00.082,0.69824,-1.03979,-0.23682;
14:28:00.102,0.72656,-1.09082,-0.37207;
14:28:00.122,0.75610,-1.20239,-0.32837;
14:28:00.142,0.73218,-1.06055,-0.13623;
14:28:00.162,0.69946,-0.84888,0.16724;
14:28:00.182,0.64209,-0.68701,0.31934;
14:28:00.202,0.57739,-0.63965,0.28076;
14:28:00.222,0.54004,-0.73755,0.20679;
14:28:00.242,0.55981,-0.76025,0.15015;
14:28:00.262,0.56128,-0.70459,0.11987;
14:28:00.282,0.47827,-0.77612,0.11328;
14:28:00.302,0.45239,-0.85645,0.10303;
14:28:00.322,0.61816,-0.72559,0.05396;
14:28:00.342,0.58472,-0.73096,0.09033;
14:28:00.362,0.54492,-0.75024,0.14990;
14:28:00.382,0.52832,-0.82983,0.19507;
14:28:00.402,0.54785,-0.86353,0.22778;
14:28:00.422,0.58838,-0.81274,0.22021;
14:28:00.442,0.59814,-0.75659,0.19922;
14:28:00.462,0.57593,-0.69727,0.24243;
14:28:00.482,0.58691,-0.70361,0.34546;
14:28:00.502,0.58301,-0.74829,0.37354;
14:28:00.522,0.55859,-0.78369,0.31885;
14:28:00.542,0.53052,-0.78149,0.30322;
14:28:00.562,0.51929,-0.82300,0.33594;
14:28:00.582,0.52002,-0.81812,0.34155;
14:28:00.602,0.50781,-0.76733,0.31152;
14:28:00.622,0.51001,-0.72290,0.28809;
14:28:00.642,0.53345,-0.69897,0.29395;
14:28:00.662,0.55835,-0.69092,0.31421;
14:28:00.682,0.57837,-0.71118,0.32764;
14:28:00.702,0.59961,-0.73315,0.33667;
14:28:00.722,0.60571,-0.75024,0.33545;
14:28:00.742,0.59082,-0.77563,0.33301;
14:28:00.762,0.55713,-0.77075,0.34351;
14:28:00.782,0.53198,-0.68091,0.37769;
14:28:00.802,0.54688,-0.63354,0.34863;
14:28:00.822,0.55566,-0.67798,0.28589;
14:28:00.842,0.56348,-0.75659,0.21265;
14:28:00.862,0.58105,-0.80029,0.21851;
14:28:00.882,0.59546,-0.78955,0.29175;
14:28:00.902,0.60083,-0.76709,0.35034;
14:28:00.922,0.61133,-0.76050,0.32056;
14:28:00.942,0.59937,-0.78149,0.18213;
14:28:00.962,0.56812,-0.79541,0.11987;
14:28:00.982,0.56812,-0.78198,0.15649;
14:28:01.002,0.59546,-0.80762,0.14722;
14:28:01.022,0.63721,-0.76563,0.14941;
14:28:01.042,0.63794,-0.70190,0.19946;
14:28:01.062,0.60596,-0.70532,0.29224;
14:28:01.082,0.60352,-0.64941,0.37915;
14:28:01.102,0.61938,-0.60303,0.41138;
14:28:01.122,0.59448,-0.67065,0.35498;
14:28:01.142,0.55322,-0.73926,0.32666;
14:28:01.162,0.56738,-0.72485,0.38354;
14:28:01.182,0.61426,-0.65723,0.40771;
14:28:01.202,0.64136,-0.57300,0.41553;
14:28:01.222,0.61157,-0.50879,0.43994;
14:28:01.242,0.54565,-0.55127,0.47583;
14:28:01.262,0.51904,-0.68140,0.54346;
14:28:01.282,0.63647,-0.70581,0.46143;
14:28:01.302,0.66528,-0.70483,0.37500;
14:28:01.322,0.62256,-0.70605,0.36035;
14:28:01.342,0.59814,-0.69629,0.40234;
14:28:01.362,0.59546,-0.67041,0.43311;
14:28:01.382,0.58032,-0.66870,0.41992;
14:28:01.402,0.57788,-0.71973,0.42358;
14:28:01.422,0.59814,-0.74048,0.41113;
14:28:01.442,0.60474,-0.74072,0.37622;
14:28:01.462,0.58130,-0.67505,0.32764;
14:28:01.482,0.56787,-0.64893,0.27075;
